,Coin 0,Coin 1,Coin 2,Coin 3
271,87.36985779--125.04002380,59.92046356--54.68397903,65.22357941--78.92835236,87.98104858--93.59919739
272,87.38903046--125.31897736,60.59634018--54.64968491,64.94502258--79.14757538,87.97492218--93.53228760
273,87.38177490--125.56399536,61.15715408--54.62809372,64.68920135--79.39083862,87.93994141--93.45292664
274,87.36274719--125.79077911,61.63819885--54.61247635,64.45075989--79.65677643,87.86812592--93.36528778
275,87.33189392--126.01863861,62.06917191--54.60318756,64.21494293--79.96409607,87.75331879--93.26493073
276,87.29286194--126.23349762,62.41355515--54.60859299,63.99929810--80.28523254,87.61555481--93.16294861
277,87.24861908--126.43608856,62.67981339--54.62347031,63.80506516--80.61579132,87.45483398--93.06032562
278,87.19937134--126.62535858,62.87405777--54.64606857,63.63241196--80.94951630,87.27773285--92.96111298
279,87.14611816--126.80551147,62.99699783--54.67700577,63.48078156--81.28675079,87.08145142--92.86605072
280,87.08734894--126.98467255,63.02829361--54.72239685,63.35158539--81.63781738,86.85181427--92.77334595
281,87.02203369--127.14714813,62.91645432--54.78995132,63.26473236--81.98384094,86.59945679--92.69177246
282,86.94963074--127.28652191,62.63407898--54.88167191,63.23120880--82.31427765,86.32382202--92.62580872
283,86.86828613--127.39807892,62.15355301--55.00126648,63.26007080--82.62286377,86.02352905--92.57930756
284,86.77584839--127.47865295,61.43709564--55.15485764,63.36193085--82.90695953,85.69152069--92.55511475
285,86.66972351--127.52257538,60.40299606--55.35643387,63.55958939--83.16319275,85.31055450--92.55786896
286,86.53826904--127.51490021,59.01129913--55.60891342,63.86570740--83.38361359,84.88784027--92.59529114
287,86.37626648--127.44939423,57.27024078--55.90753555,64.27954102--83.56169128,84.43001556--92.67004395
288,86.18039703--127.32422638,55.20854187--56.24634552,64.79450989--83.69403839,83.94620514--92.78199005
289,85.96462250--127.12504578,52.90752792--56.61869431,65.40465546--83.71335602,83.47984314--92.92838287
290,85.76434326--126.81529999,50.49087906--57.00568771,66.10829926--83.47914124,83.11448669--93.09696960
291,85.55790710--126.40275574,47.97178650--57.37246704,66.88964081--83.07759857,82.83283234--93.27343750
292,85.31221771--125.91649628,45.44560623--57.73695755,67.76440430--82.55341339,82.70939636--93.46675110
293,85.04006195--125.35707092,43.06887054--58.06388092,68.68372345--81.96750641,82.74582672--93.65377808
294,84.80202484--124.72239685,41.28140640--58.23498917,69.44546509--81.44409943,82.88861084--93.78160095
295,84.62206268--124.02124023,40.94029617--58.06522369,69.78538513--80.98992157,83.27730560--93.79193115
296,84.67515564--123.38426971,42.04628372--57.59782791,69.70700073--80.53135681,83.85264587--93.73282623
297,84.93151093--122.94441223,44.56852722--56.89402008,69.19570160--80.07560730,84.61259460--93.63737488
298,85.39226532--122.83213043,48.06567001--56.10934067,68.36973572--79.63518524,85.47270203--93.56220245
299,85.99333954--123.05876160,51.16170883--55.58652115,67.62559509--79.17887115,86.22394562--93.57356262
300,86.55693817--123.48970795,53.59376526--55.30727005,66.99233246--78.97064972,86.78246307--93.57001495
301,86.89199066--123.88976288,55.58895493--55.13288879,66.48999023--78.76634216,87.29768372--93.61129761
302,87.12249756--124.23186493,57.16104507--54.97374344,66.09205627--78.65682983,87.65719604--93.64105988
303,87.26437378--124.55976105,58.43298340--54.82781601,65.72858429--78.69618988,87.85431671--93.64136505
304,87.34247589--124.87298584,59.47188568--54.71475601,65.38968658--78.83018494,87.96357727--93.62083435
305,87.38342285--125.16844177,60.23699570--54.66625214,65.09751129--79.02059937,87.98097992--93.57252502
306,87.38713074--125.43387604,60.85930252--54.63927841,64.82664490--79.25776672,87.96046448--93.49648285
307,87.37387848--125.66699982,61.38055801--54.62070084,64.58043671--79.50753021,87.91265869--93.41464233
308,87.35028076--125.89250946,61.83752060--54.60729980,64.34474182--79.78961945,87.82170105--93.32171631
309,87.31546021--126.11513519,62.23266220--54.60387039,64.11679840--80.10443878,87.69586182--93.22004700
310,87.27404785--126.32497406,62.54122543--54.61404800,63.91051102--80.43081665,87.54664612--93.11730194
311,87.22709656--126.52317810,62.77563858--54.63269424,63.72474670--80.76599884,87.37619781--93.01500702
312,87.17578888--126.70713806,62.93777466--54.65898895,63.56175995--81.10068512,87.19214630--92.91787720
313,87.12039948--126.88611603,63.02460861--54.69513321,63.41935730--81.44287109,86.98284912--92.82395935
314,87.05912018--127.05905914,62.99840164--54.74940109,63.30704498--81.79262543,86.74295044--92.73553467
315,86.99095154--127.21211243,62.81435776--54.82733917,63.24262619--82.13265991,86.48020935--92.66034698
316,86.91484070--127.34037781,62.44475174--54.93162537,63.23611450--82.45503998,86.19213867--92.60235596
317,86.82829285--127.43829346,61.86309814--55.06571579,63.29623413--82.75349426,85.87886047--92.56552887
318,86.72999573--127.50360107,61.01697540--55.23866272,63.43728638--83.02617645,85.52706146--92.55258942
319,86.61434937--127.52600861,59.82944489--55.46238327,63.68172455--83.26669312,85.12753296--92.56997681
320,86.47035217--127.49320221,58.28079605--55.73603439,64.03621674--83.46833038,84.68849182--92.62379456
321,86.29409790--127.40083313,56.38690567--56.05437088,64.49791718--83.62544250,84.21672821--92.71548462
322,86.08218384--127.24829865,54.18762207--56.41043472,65.05745697--83.73644257,83.72399902--92.84397888
323,85.87432861--126.99776459,51.84365082--56.79250336,65.70865631--83.62837219,83.30778503--93.00223541
324,85.67341614--126.64443207,49.37216568--57.17326355,66.44952393--83.31987000,82.97686768--93.17518616
325,85.45999908--126.18297577,46.84968948--57.52059174,67.25271606--82.84813690,82.74002838--93.35098267
326,85.18862152--125.67647552,44.36324310--57.89096832,68.17782593--82.28685760,82.71925354--93.55426025
327,84.93818665--125.08454132,42.10412979--58.18114853,69.07360077--81.72216034,82.77830505--93.72536469
328,84.69262695--124.40892792,40.96352768--58.19565964,69.64344788--81.24117279,83.04118347--93.79692078
329,84.62311554--123.72385406,41.26240540--57.88983536,69.80175018--80.78603363,83.51083374--93.77308655
330,84.76548767--123.15673828,42.99073029--57.31209183,69.53498077--80.32282257,84.16845703--93.69264221
331,85.10792542--122.85057068,46.14987946--56.51704407,68.82135010--79.89525604,85.00375366--93.58932495
332,85.66035461--122.90347290,49.53859329--55.84176254,68.01974487--79.40489960,85.83523560--93.56781006
333,86.27037048--123.25179291,52.31797409--55.45016098,67.33168030--79.06761169,86.49163818--93.57784271
334,86.72962189--123.67413330,54.54398346--55.22047806,66.75025177--78.86943817,87.02532196--93.58325958
335,87.00708771--124.04645538,56.33938217--55.06018448,66.30422974--78.69969940,87.48096466--93.62802124
336,87.19544220--124.38082123,57.75411606--54.90718460,65.92800140--78.65988159,87.75636292--93.64407349
337,87.30377960--124.70367432,58.94268799--54.76689529,65.56757355--78.75258636,87.91528320--93.63354492
338,87.36592102--125.00885010,59.83926010--54.68908691,65.25482941--78.90767670,87.97938538--93.60429382
339,87.38859558--125.29167175,60.53153229--54.65237045,64.97309875--79.12351990,87.97626495--93.53995514
340,87.38285065--125.54073334,61.10372543--54.63009262,64.71399689--79.36653900,87.94382477--93.46094513
341,87.36488342--125.76799774,61.59130478--54.61400986,64.47458649--79.62868500,87.87712860--93.37461853
342,87.33551025--125.99505615,62.02713394--54.60376358,64.23902893--79.93080902,87.76698303--93.27573395
343,87.29731750--126.21109009,62.38073349--54.60750198,64.02130890--80.25031281,87.63162994--93.17391968
344,87.25357056--126.41550446,62.65547562--54.62144852,63.82443619--80.58081055,87.47240448--93.07098389
345,87.20460510--126.60684204,62.85731888--54.64342880,63.64901733--80.91563416,87.29605103--92.97094727
346,87.15167999--126.78741455,62.98749924--54.67350006,63.49534607--81.25221252,87.10244751--92.87554932
347,87.09359741--126.96642303,63.03033829--54.71687698,63.36347198--81.60138702,86.87701416--92.78263855
348,87.02919006--127.13080597,62.93582535--54.78169250,63.27159119--81.94780731,86.62741089--92.69976807
349,86.95770264--127.27312469,62.67277908--54.87072754,63.23192596--82.28038025,86.35389709--92.63188934
350,86.87736511--127.38809967,62.21265030--54.98763657,63.25412750--82.59201813,86.05542755--92.58308411
351,86.78585815--127.47193146,61.52213287--55.13745499,63.34791183--82.87905884,85.72714996--92.55650330
352,86.68125916--127.52009583,60.52572632--55.33324814,63.53422165--83.13861847,85.35203552--92.55613708
353,86.55307007--127.51831818,59.17468262--55.57997894,63.82815552--83.36281586,84.93411255--92.58964539
354,86.39494324--127.45910645,57.46922302--55.87412262,64.23108673--83.54506683,84.47955322--92.66040039
355,86.20291138--127.33990479,55.43577957--56.20964432,64.73699188--83.68178558,83.99736023--92.76869965
356,85.98518372--127.15159607,53.14315414--56.57980347,65.33838654--83.72898102,83.52013397--92.91224670
357,85.78421021--126.85169220,50.74465561--56.96672821,66.03182983--83.51194000,83.14809418--93.07928467
358,85.57947540--126.45076752,48.23384094--57.33626938,66.80593109--83.12738800,82.85700989--93.25505829
359,85.34041595--125.96879578,45.70417404--57.69794846,67.66764832--82.61208344,82.71064758--93.44535828
360,85.06480408--125.41614532,43.30452347--58.03239822,68.59135437--82.02156830,82.74215698--93.63563538
361,84.82931519--124.79001617,41.37857056--58.23689651,69.39416504--81.48971558,82.85824585--93.77519226
362,84.62509155--124.08847809,40.89715576--58.09764862,69.77285004--81.03723907,83.22723389--93.79397583
363,84.65808105--123.44094086,41.85877609--57.65823364,69.73703766--80.58129883,83.78192139--93.74122620
364,84.89459991--122.97435760,44.21845627--56.98142624,69.27664185--80.11895752,84.52230835--93.64955139
365,85.33062744--122.82286072,47.72761536--56.17442322,68.44824219--79.69129944,85.38822937--93.56149292
366,85.92783356--123.01750946,50.88941956--55.62073898,67.69358063--79.20713043,86.16088867--93.57209778
367,86.51078033--123.44373322,53.37076187--55.33062363,67.05479431--78.98381805,86.73184204--93.57322693
368,86.86517334--123.84914398,55.40303802--55.14859390,66.53795624--78.78062439,87.25091553--93.60695648
369,87.10345459--124.19541931,57.01452255--54.98913574,66.13188171--78.65921783,87.62940216--93.63958740
370,87.25331116--124.52600098,58.30734253--54.84328842,65.76659393--78.68646240,87.83631897--93.64215851
371,87.33532715--124.84199524,59.38536072--54.72147751,65.41976166--78.81626129,87.95751953--93.62293243
372,87.38121033--125.13935089,60.16975784--54.66946030,65.12549591--78.99777985,87.98263550--93.57969666
373,87.38832092--125.40776062,60.80149841--54.64134598,64.85359955--79.23110199,87.96511841--93.50518799
374,87.37619781--125.64305878,61.33057022--54.62216568,64.60558319--79.47909546,87.92035675--93.42393494
375,87.35357666--125.86882019,61.79239655--54.60829926,64.36939240--79.75767517,87.83329773--93.33212280
376,87.31930542--126.09380341,62.19819641--54.60320282,64.13830566--80.07283783,87.70895386--93.23005676
377,87.27838135--126.30454254,62.51426697--54.61259079,63.93001938--80.39781189,87.56276703--93.12761688
378,87.23216248--126.50331879,62.75531769--54.63038254,63.74274063--80.73130035,87.39488220--93.02539825
379,87.18140411--126.68817139,62.92475510--54.65571976,63.57775116--81.06523895,87.21273804--92.92790985
380,87.12657166--126.86739349,63.02047348--54.69052505,63.43312454--81.40616608,87.00655365--92.83370972
381,87.06578827--127.04274750,63.00847626--54.74275208,63.31618881--81.75763702,86.76785278--92.74382019
382,86.99810791--127.19799042,62.84078979--54.81844330,63.24653625--82.09946442,86.50751495--92.66711426
383,86.92285156--127.32858276,62.49210739--54.91961670,63.23366928--82.42345428,86.22282410--92.60734558
384,86.83767700--127.42957306,61.93550873--55.05002213,63.28624344--82.72388458,85.91314697--92.56827545
385,86.74095154--127.49858093,61.12131882--55.21817017,63.41775513--82.99906921,85.56629181--92.55262756
386,86.62792969--127.52631378,59.96700668--55.43732452,63.65196609--83.24335480,85.16994476--92.56651306
387,86.48643494--127.49919128,58.45194244--55.70655441,63.99587631--83.44975281,84.73413086--92.61666107
388,86.31311035--127.41303253,56.59360504--56.02022171,64.44628143--83.61215210,84.26559448--92.70447540
389,86.10491943--127.26700592,54.42782593--56.37195206,64.99491119--83.72832489,83.77508545--92.82906342
390,85.89531708--127.02886200,52.09402084--56.75188446,65.63642120--83.65048981,83.34680939--92.98469543
391,85.69501495--126.68560028,49.63143921--57.13508224,66.36983490--83.35895538,83.00723267--93.15705872
392,85.48312378--126.23520660,47.10491180--57.48797226,67.16941071--82.90283966,82.75948334--93.33352661
393,85.21710968--125.73368835,44.60546875--57.85800171,68.08391571--82.34993744,82.71452332--93.53495789
394,84.96060181--125.14966583,42.31683731--58.15720749,68.98569489--81.78025055,82.76831818--93.71001434
395,84.71635437--124.48394012,41.02070236--58.20947647,69.60177612--81.28844452,83.00312805--93.79534912
396,84.62078857--123.79277039,41.16820908--57.93526459,69.80375671--80.83250427,83.45491028--93.77883911
397,84.74234772--123.20595551,42.75479889--57.38096237,69.58059692--80.36946869,84.09461975--93.70226288
398,85.06506348--122.86666870,45.77824783--56.60300827,68.91053772--79.93566132,84.91394043--93.59956360
399,85.59872437--122.88274384,49.19979477--55.90108109,68.10134888--79.45594788,85.75250244--93.56626892
400,86.20785522--123.20574188,52.05657196--55.47983170,67.39884186--79.09167480,86.43112183--93.57720184
401,86.69369507--123.63218689,54.33176041--55.23739243,66.80130005--78.89528656,86.96734619--93.57714844
402,86.98154449--124.01246643,56.17536926--55.07691574,66.34429169--78.71472931,87.44171143--93.62458801
403,87.18009186--124.34740448,57.62357330--54.92220306,65.96475983--78.65696716,87.73649597--93.64398193
404,87.29593658--124.67074585,58.83029556--54.77994919,65.60416412--78.73754883,87.90357208--93.63602448
405,87.36152649--124.97750092,59.75643158--54.69449234,65.28622437--78.88771820,87.97712708--93.60902405
406,87.38792419--125.26396179,60.46515274--54.65527725,65.00154114--79.09958649,87.97730255--93.54755402
407,87.38381195--125.51707458,61.04922867--54.63212204,64.73912811--79.34224701,87.94749451--93.46892548
408,87.36694336--125.74512482,61.54394150--54.61555099,64.49851227--79.60083771,87.88581848--93.38385773
409,87.33905029--125.97145844,61.98452377--54.60443115,64.26319885--79.89779663,87.78028870--93.28646088
410,87.30171204--126.18866730,62.34727097--54.60650253,64.04342651--80.21566772,87.64736938--93.18483734
411,87.25846863--126.39474487,62.63027573--54.61953354,63.84407043--80.54583740,87.48985291--93.08168793
412,87.20980835--126.58809662,62.83977890--54.64086533,63.66591644--80.88159180,87.31433105--92.98086548
413,87.15719604--126.76923370,62.97722626--54.67007828,63.51014709--81.21767426,87.12322998--92.88511658
414,87.09980774--126.94807434,63.03102493--54.71157074,63.37572861--81.56497955,86.90188599--92.79199982
415,87.03623962--127.11429596,62.95331192--54.77372360,63.27899933--81.91176605,86.65498352--92.70790100
416,86.96563721--127.25940704,62.70929337--54.86011124,63.23332977--82.24628448,86.38372040--92.63818359
417,86.88627625--127.37774658,62.26959610--54.97427750,63.24888611--82.56085205,86.08714294--92.58712006
418,86.79579163--127.46482849,61.60442352--55.12043381,63.33476257--82.85077667,85.76242065--92.55813599
419,86.69263458--127.51711273,60.64460373--55.31061172,63.51005554--83.11357880,85.39302063--92.55477142
420,86.56755066--127.52109528,59.33363342--55.55168152,63.79194641--83.34152985,84.97982788--92.58441925
421,86.41316223--127.46813965,57.66431046--55.84118652,64.18381500--83.52802277,84.52870941--92.65119171
422,86.22494507--127.35498810,55.66039276--56.17323685,64.68031311--83.66918945,84.04839325--92.75576782
423,86.00554657--127.17742157,53.37694168--56.54109573,65.27289581--83.74369812,83.56070709--92.89633179
424,85.80391693--126.88713837,50.99749374--56.92763901,65.95600891--83.54338837,83.18249512--93.06173706
425,85.60101318--126.49752808,48.49552536--57.29968262,66.72290039--83.17533112,82.88227844--93.23669434
426,85.36849976--126.01954651,45.96311569--57.65816879,67.57151031--82.66883087,82.71320343--93.42375183
427,85.08963013--125.47357941,43.54138565--57.99983597,68.49923706--82.07442474,82.73928833--93.61698914
428,84.85662842--124.85578156,41.48072433--58.23680496,69.34178162--81.53524780,82.82876587--93.76782227
429,84.62852478--124.15496063,40.86416245--58.12730026,69.75732422--81.08540344,83.17823792--93.79515076
